item,itemLabel,position,positionLabel,start,end,cabinet,cabinetLabel,ordinal,replaces,replacesLabel,replacedBy,replacedByLabel,nature,natureLabel,source,sourceName,statedName,psid
Q355241,Edgar Savisaar,Q6866431,Minister of the Interior,1995-04-12,1995-10-10,,,,Q16405936,Kaido Kama,Q659781,Märt Rask,,,,,,Q355241-4ef64207-45eb-e884-1ac7-2b7a11caecc2
Q355241,Edgar Savisaar,Q737115,Prime Minister of Estonia,1991-08-20,1992-01-29,,,,Q1375532,Otto Tief,Q725427,Tiit Vähi,,,,,,Q355241-9A0359E1-35F7-4A19-9B2C-250279839BEF
Q450523,Eiki Nestor,Q16402881,Minister of Social Affairs,1999-03-25,2002-01-28,,,,,,,,,,,,,Q450523-6CAAE69F-3CDB-4AB7-BC09-B58CB11062D3
Q2063457,Eldar Efendijev,Q24061775,Minister of Population and Ethnic Affairs,2002-01-28,2003-04-10,,,,,,,,,,,,,Q2063457-b65fce96-4aea-bf21-cc37-f77801e79f2f
Q1332782,Elmar Lipping,Q1760777,Minister of Foreign Affairs,,,,,,,,,,,,,,,Q1332782-29A72821-5B5E-4C88-9566-2EF828BA0388
Q1340315,Endel Lippmaa,Q24254211,Minister of European Integration,1995-11-17,1996-08-06,,,,,,,,,,,,,Q1340315-4f848520-48b0-601a-4d7f-10f691dd32d2
Q1340315,Endel Lippmaa,Q24067751,minister without portfolio,1990-01-01,1992-01-01,,,,,,,,,,,,,Q1340315-09df9c9c-4d4a-7dd5-7e90-629adbde974b
Q16407419,Enn Tupp,Q3741249,Minister of Defence,1994-06-01,1995-04-01,,,,,,,,,,,,,Q16407419-6EC63FDA-45EF-4A25-A505-DC02FC616B25
Q12362302,Ernst Ein,Q6866431,Minister of the Interior,1933-10-03,1933-10-21,,,,,,,,,,,,,Q12362302-38EE7AAC-8339-4013-8D0C-1F4CE555372B
Q16407915,Ervin Jüri Nõmmera,Q21103025,Minister of Finance,,,,,,,,,,,,,,,Q16407915-C54BB9B4-71DB-4FB7-AAA2-A86824FF7DE7
Q293175,Ester Tuiksoo,Q16405106,Minister of Agriculture,2004-04-05,2007-04-05,,,,,,,,,,,,,Q293175-721FE916-F955-4301-BBD4-E27AE4953625
Q105069608,Eva-Maria Liimets,Q1760777,Minister of Foreign Affairs,2021-01-26,,Q105071498,Kaja Kallas' cabinet,,Q645970,Urmas Reinsalu,,,,,https://vm.ee/en/ministry-contacts/foreign-minister,,,Q105069608-76451455-4867-007f-841a-4c119017ceb4
Q105069608,Eva-Maria Liimets,Q1760777,Minister of Foreign Affairs,2021-01-26,,Q105071498,Kaja Kallas' cabinet,,Q645970,Urmas Reinsalu,,,,,https://www.valitsus.ee/peaminister-ministrid/valitsuse-koosseis,Eva-Maria Liimets,Välisminister,Q105069608-76451455-4867-007f-841a-4c119017ceb4
Q10997036,Ferdinand Eisen,Q23725838,Minister of Culture and Education,1960-01-01,1980-01-01,,,,,,,,,,,,,Q10997036-d458ef81-4b65-b762-b766-bf3db4037fad
Q571670,Friedrich Akel,Q1760777,Minister of Foreign Affairs,,,,,,,,,,,,,,,Q571670-2EFD5839-F91C-4959-BACD-5121579B6159
Q12362779,Friedrich Sauer,Q6866110,Minister of Education and Research,,,,,,,,,,,,,,,Q12362779-5EC3401A-A510-48D3-9E68-7D0A93A72DD8
Q1569349,Hain Rebas,Q3741249,Minister of Defence,1992-10-01,1993-08-01,,,,,,,,,,,,,Q1569349-B8A14FE8-C5B3-402A-BC24-01F670D28877
Q17446918,Hannes Hanso,Q3741249,Minister of Defence,2015-09-14,2016-11-23,,,,Q2097451,Sven Mikser,Q11716283,Margus Tsahkna,,,,,,Q17446918-cc265747-4510-6298-ee85-34516273628a
Q1399218,Hanno Pevkur,Q20528230,Minister of Justice,2012-12-10,2014-03-26,,,,Q1789192,Kristen Michal,Q13234758,Andres Anvelt,,,,,,Q1399218-994760F0-1E01-4C80-8DD1-6104DE4A6561
Q1399218,Hanno Pevkur,Q16402881,Minister of Social Affairs,2009-02-23,2012-12-10,,,,Q509232,Maret Maripuu,Q3785077,Taavi Rõivas,,,,,,Q1399218-891AADBB-C4FC-447B-8D41-BC68D9E925F5
Q1399218,Hanno Pevkur,Q6866431,Minister of the Interior,2014-03-26,2016-11-23,,,,Q1385792,Ken-Marti Vaher,Q13234758,Andres Anvelt,,,,,,Q1399218-CA6AA72C-F9C3-4271-8815-3E85E273C638
Q4242571,Hans Kruus,Q6866110,Minister of Education and Research,,,,,,,,,,,,,,,Q4242571-B4923287-D3CE-482B-A77E-3A7C013CA7BA
Q337423,Hans Rebane,Q1760777,Minister of Foreign Affairs,,,,,,,,,,,,,,,Q337423-C5094514-CF49-41F1-9CBA-76F497BAC0CD
Q12363417,Harald Laksberg,Q6866110,Minister of Education and Research,,,,,,,,,,,,,,,Q12363417-892079CB-0C92-4449-A5AA-3BF8BE35074B
Q1586128,Harri Õunapuu,Q16405106,Minister of Agriculture,1991-02-13,1992-02-19,,,,,,,,,,,,,Q1586128-15afea9f-4742-eeb5-1ac9-f6d73999737e
Q1586128,Harri Õunapuu,Q21103025,Minister of Finance,2002-01-28,2003-04-10,,,,Q156469,Siim Kallas,Q743319,Tõnis Palts,,,,,,Q1586128-FAD2131C-4800-46B4-8D71-7E6D51901F9D
Q17447275,Heido Vitsur,Q21121665,Minister of Economic Affairs and Communications,1992-01-30,1992-06-08,,,,,,,,,,,,,Q17447275-F447014D-0ADD-43E2-9151-D68BACF53010
Q21121859,Heiki Arike,Q6866431,Minister of the Interior,1993-12-14,1994-11-04,,,,Q293127,Lagle Parek,Q16405936,Kaido Kama,,,,,,Q21121859-01ce4ddd-4e37-cfb1-e2a1-a051472768dd
Q1594612,Heiki Kranich,Q21103025,Minister of Finance,1994-01-11,1994-06-21,,,,Q23727172,Madis Üürike,Q375400,Andres Lipstok,,,,,,Q1594612-B5B822B6-11D2-48F7-80D7-45254A4606FC
Q1594612,Heiki Kranich,Q12361541,Minister of the Environment,1999-03-25,2003-04-10,,,,,,,,,,,,,Q1594612-CF50DE07-A4E1-4E05-A710-E50C74DF693E
Q23042793,Heinrich Ajo,Q1760777,Minister of Foreign Affairs,,,,,,,,,,,,,,,Q23042793-0e557736-251e-48fd-b8b9-2296ed391314
Q12363615,Heinrich Bauer,Q6866110,Minister of Education and Research,1921-01-27,1922-11-22,,,,,,,,,,,,,Q12363615-936373E8-CB16-4F00-A65A-B11046698EB7
Q12363640,Heinrich Laretei,Q16402880,Minister of Agricultural Work,,,,,,,,,,,,,,,Q12363640-D2A174C1-00D8-4676-B478-B6BD4CB9C3E0
Q12363640,Heinrich Laretei,Q6866431,Minister of the Interior,1926-07-23,1926-11-12,,,11,Q126704,Kaarel Eenpalu,Q12364817,Jaan Hünerson,,,,,,Q12363640-503BA979-8ECD-4DF9-9AAD-3E6A46C54EDC
Q887254,Heinrich Mark,Q12372129,Prime Minister in duties of the President,1990-03-01,1992-10-06,,,5,Q886992,Tõnis Kint,Q153149,Lennart Meri,,,,,,Q887254-4288B8E0-4D19-4ADB-8389-E108AF03A33E
